id,name,country,city,latitude,longitude,description,wikipedia_url,categories,ar_trigger_tags,type
market_alexandria,Alexandria Central Market,Egypt,Alexandria,31.2001,29.9187,"Vibrant local market in Alexandria featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_alexandria,marketplace
tour_alexandria,Alexandria City Tour,Egypt,Alexandria,31.2011,29.919700000000002,Cultural and historical tour of Alexandria,,tour|city|culture,ar_tour_alexandria,tourism_spot
market_marrakech,Marrakech Central Market,Morocco,Marrakech,31.6295,-7.9811,"Vibrant local market in Marrakech featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_marrakech,marketplace
tour_marrakech,Marrakech City Tour,Morocco,Marrakech,31.6305,-7.980099999999999,Cultural and historical tour of Marrakech,,tour|city|culture,ar_tour_marrakech,tourism_spot
accom_marrakech,Marrakech Grand Hotel,Morocco,Marrakech,31.6285,-7.9821,Top-rated accommodation in Marrakech with local charm,,hotel|accommodation|travel,ar_hotel_marrakech,accommodation
market_casablanca,Casablanca Central Market,Morocco,Casablanca,33.5731,-7.5898,"Vibrant local market in Casablanca featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_casablanca,marketplace
market_fez,Fez Central Market,Morocco,Fez,34.0181,-5.0078,"Vibrant local market in Fez featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_fez,marketplace
tour_fez,Fez City Tour,Morocco,Fez,34.019099999999995,-5.006799999999999,Cultural and historical tour of Fez,,tour|city|culture,ar_tour_fez,tourism_spot
market_dakar,Dakar Central Market,Senegal,Dakar,14.7167,-17.4677,"Vibrant local market in Dakar featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_dakar,marketplace
tour_dakar,Dakar City Tour,Senegal,Dakar,14.717699999999999,-17.4667,Cultural and historical tour of Dakar,,tour|city|culture,ar_tour_dakar,tourism_spot
accom_dakar,Dakar Grand Hotel,Senegal,Dakar,14.7157,-17.468700000000002,Top-rated accommodation in Dakar with local charm,,hotel|accommodation|travel,ar_hotel_dakar,accommodation
market_accra,Accra Central Market,Ghana,Accra,5.6037,-0.187,"Vibrant local market in Accra featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_accra,marketplace
market_lagos,Lagos Central Market,Nigeria,Lagos,6.5244,3.3792,"Vibrant local market in Lagos featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_lagos,marketplace
tour_lagos,Lagos City Tour,Nigeria,Lagos,6.5254,3.3802,Cultural and historical tour of Lagos,,tour|city|culture,ar_tour_lagos,tourism_spot
market_abuja,Abuja Central Market,Nigeria,Abuja,9.082,7.4969,"Vibrant local market in Abuja featuring traditional crafts, textiles, and produce",,market|local|shopping,ar_market_abuja,marketplace
tour_abuja,Abuja City Tour,Nigeria,Abuja,9.083,7.4979000000000005,Cultural and historical tour of Abuja,,tour|city|culture,ar_tour_abuja,tourism_spot
accom_abuja,Abuja Grand Hotel,Nigeria,Abuja,9.081000000000001,7.4959,Top-rated accommodation in Abuja with local charm,,hotel|accommodation|travel,ar_hotel_abuja,accommodation
extra_0100,Destination 100 - Harare,Zimbabwe,Harare,-17.725199999999997,31.1335,Additional tourist destination near Harare,,tourism|attraction,ar_dest_100,tourism_spot
extra_0101,Destination 101 - Lusaka,Zambia,Lusaka,-15.286499999999998,28.4238,Additional tourist destination near Lusaka,,tourism|attraction,ar_dest_101,tourism_spot
extra_0102,Destination 102 - Gaborone,Botswana,Gaborone,-24.5555,26.0195,Additional tourist destination near Gaborone,,tourism|attraction,ar_dest_102,tourism_spot
extra_0103,Destination 103 - Windhoek,Namibia,Windhoek,-22.467,17.186600000000002,Additional tourist destination near Windhoek,,tourism|attraction,ar_dest_103,tourism_spot
extra_0104,Destination 104 - Nairobi,Kenya,Nairobi,-1.1881,36.9259,Additional tourist destination near Nairobi,,tourism|attraction,ar_dest_104,tourism_spot
extra_0105,Destination 105 - Mombasa,Kenya,Mombasa,-3.9385,39.773199999999996,Additional tourist destination near Mombasa,,tourism|attraction,ar_dest_105,tourism_spot
extra_0106,Destination 106 - Dar es Salaam,Tanzania,Dar es Salaam,-6.6864,39.3143,Additional tourist destination near Dar es Salaam,,tourism|attraction,ar_dest_106,tourism_spot
extra_0107,Destination 107 - Arusha,Tanzania,Arusha,-3.2798999999999996,36.79,Additional tourist destination near Arusha,,tourism|attraction,ar_dest_107,tourism_spot
extra_0108,Destination 108 - Kampala,Uganda,Kampala,0.4556,32.6905,Additional tourist destination near Kampala,,tourism|attraction,ar_dest_108,tourism_spot
extra_0109,Destination 109 - Kigali,Rwanda,Kigali,-1.8351,30.170900000000003,Additional tourist destination near Kigali,,tourism|attraction,ar_dest_109,tourism_spot
extra_0110,Destination 110 - Addis Ababa,Ethiopia,Addis Ababa,9.139999999999999,38.85,Additional tourist destination near Addis Ababa,,tourism|attraction,ar_dest_110,tourism_spot
extra_0111,Destination 111 - Cairo,Egypt,Cairo,30.1554,31.346700000000002,Additional tourist destination near Cairo,,tourism|attraction,ar_dest_111,tourism_spot
extra_0112,Destination 112 - Alexandria,Egypt,Alexandria,31.312099999999997,30.0307,Additional tourist destination near Alexandria,,tourism|attraction,ar_dest_112,tourism_spot
extra_0113,Destination 113 - Marrakech,Morocco,Marrakech,31.7425,-7.868099999999999,Additional tourist destination near Marrakech,,tourism|attraction,ar_dest_113,tourism_spot
extra_0114,Destination 114 - Casablanca,Morocco,Casablanca,33.687099999999994,-7.4758000000000004,Additional tourist destination near Casablanca,,tourism|attraction,ar_dest_114,tourism_spot
extra_0115,Destination 115 - Fez,Morocco,Fez,34.1331,-4.892799999999999,Additional tourist destination near Fez,,tourism|attraction,ar_dest_115,tourism_spot
extra_0116,Destination 116 - Dakar,Senegal,Dakar,14.832699999999999,-17.3517,Additional tourist destination near Dakar,,tourism|attraction,ar_dest_116,tourism_spot
extra_0117,Destination 117 - Accra,Ghana,Accra,5.7207,-0.06999999999999999,Additional tourist destination near Accra,,tourism|attraction,ar_dest_117,tourism_spot
extra_0118,Destination 118 - Lagos,Nigeria,Lagos,6.6424,3.4972,Additional tourist destination near Lagos,,tourism|attraction,ar_dest_118,tourism_spot
extra_0119,Destination 119 - Abuja,Nigeria,Abuja,9.201,7.6159,Additional tourist destination near Abuja,,tourism|attraction,ar_dest_119,tourism_spot
extra_0120,Destination 120 - Cape Town,South Africa,Cape Town,-33.8049,18.5441,Additional tourist destination near Cape Town,,tourism|attraction,ar_dest_120,tourism_spot
extra_0121,Destination 121 - Johannesburg,South Africa,Johannesburg,-26.0831,28.1683,Additional tourist destination near Johannesburg,,tourism|attraction,ar_dest_121,tourism_spot
extra_0122,Destination 122 - Durban,South Africa,Durban,-29.7367,31.1438,Additional tourist destination near Durban,,tourism|attraction,ar_dest_122,tourism_spot
extra_0123,Destination 123 - Maputo,Mozambique,Maputo,-25.8432,32.706799999999994,Additional tourist destination near Maputo,,tourism|attraction,ar_dest_123,tourism_spot
extra_0124,Destination 124 - Harare,Zimbabwe,Harare,-17.7012,31.1575,Additional tourist destination near Harare,,tourism|attraction,ar_dest_124,tourism_spot
extra_0125,Destination 125 - Lusaka,Zambia,Lusaka,-15.2625,28.4478,Additional tourist destination near Lusaka,,tourism|attraction,ar_dest_125,tourism_spot
extra_0126,Destination 126 - Gaborone,Botswana,Gaborone,-24.531499999999998,26.0435,Additional tourist destination near Gaborone,,tourism|attraction,ar_dest_126,tourism_spot
extra_0127,Destination 127 - Windhoek,Namibia,Windhoek,-22.443,17.2106,Additional tourist destination near Windhoek,,tourism|attraction,ar_dest_127,tourism_spot
extra_0128,Destination 128 - Nairobi,Kenya,Nairobi,-1.1641,36.9499,Additional tourist destination near Nairobi,,tourism|attraction,ar_dest_128,tourism_spot
extra_0129,Destination 129 - Mombasa,Kenya,Mombasa,-3.9145,39.7972,Additional tourist destination near Mombasa,,tourism|attraction,ar_dest_129,tourism_spot
extra_0130,Destination 130 - Dar es Salaam,Tanzania,Dar es Salaam,-6.6624,39.338300000000004,Additional tourist destination near Dar es Salaam,,tourism|attraction,ar_dest_130,tourism_spot
extra_0131,Destination 131 - Arusha,Tanzania,Arusha,-3.2558999999999996,36.814,Additional tourist destination near Arusha,,tourism|attraction,ar_dest_131,tourism_spot
extra_0132,Destination 132 - Kampala,Uganda,Kampala,0.4796,32.7145,Additional tourist destination near Kampala,,tourism|attraction,ar_dest_132,tourism_spot
extra_0133,Destination 133 - Kigali,Rwanda,Kigali,-1.8111,30.1949,Additional tourist destination near Kigali,,tourism|attraction,ar_dest_133,tourism_spot
extra_0134,Destination 134 - Addis Ababa,Ethiopia,Addis Ababa,9.164,38.874,Additional tourist destination near Addis Ababa,,tourism|attraction,ar_dest_134,tourism_spot
extra_0135,Destination 135 - Cairo,Egypt,Cairo,30.1794,31.370700000000003,Additional tourist destination near Cairo,,tourism|attraction,ar_dest_135,tourism_spot
extra_0136,Destination 136 - Alexandria,Egypt,Alexandria,31.3361,30.0547,Additional tourist destination near Alexandria,,tourism|attraction,ar_dest_136,tourism_spot
extra_0137,Destination 137 - Marrakech,Morocco,Marrakech,31.7665,-7.844099999999999,Additional tourist destination near Marrakech,,tourism|attraction,ar_dest_137,tourism_spot
extra_0138,Destination 138 - Casablanca,Morocco,Casablanca,33.711099999999995,-7.4518,Additional tourist destination near Casablanca,,tourism|attraction,ar_dest_138,tourism_spot
extra_0139,Destination 139 - Fez,Morocco,Fez,34.1571,-4.868799999999999,Additional tourist destination near Fez,,tourism|attraction,ar_dest_139,tourism_spot
extra_0140,Destination 140 - Dakar,Senegal,Dakar,14.8567,-17.3277,Additional tourist destination near Dakar,,tourism|attraction,ar_dest_140,tourism_spot
extra_0141,Destination 141 - Accra,Ghana,Accra,5.7447,-0.045999999999999985,Additional tourist destination near Accra,,tourism|attraction,ar_dest_141,tourism_spot
extra_0142,Destination 142 - Lagos,Nigeria,Lagos,6.6664,3.5212,Additional tourist destination near Lagos,,tourism|attraction,ar_dest_142,tourism_spot
extra_0143,Destination 143 - Abuja,Nigeria,Abuja,9.225000000000001,7.6399,Additional tourist destination near Abuja,,tourism|attraction,ar_dest_143,tourism_spot
extra_0144,Destination 144 - Cape Town,South Africa,Cape Town,-33.7809,18.568099999999998,Additional tourist destination near Cape Town,,tourism|attraction,ar_dest_144,tourism_spot
extra_0145,Destination 145 - Johannesburg,South Africa,Johannesburg,-26.0591,28.1923,Additional tourist destination near Johannesburg,,tourism|attraction,ar_dest_145,tourism_spot
extra_0146,Destination 146 - Durban,South Africa,Durban,-29.712699999999998,31.1678,Additional tourist destination near Durban,,tourism|attraction,ar_dest_146,tourism_spot
extra_0147,Destination 147 - Maputo,Mozambique,Maputo,-25.819200000000002,32.730799999999995,Additional tourist destination near Maputo,,tourism|attraction,ar_dest_147,tourism_spot
extra_0148,Destination 148 - Harare,Zimbabwe,Harare,-17.6772,31.1815,Additional tourist destination near Harare,,tourism|attraction,ar_dest_148,tourism_spot
extra_0149,Destination 149 - Lusaka,Zambia,Lusaka,-15.2385,28.4718,Additional tourist destination near Lusaka,,tourism|attraction,ar_dest_149,tourism_spot
extra_0150,Destination 150 - Gaborone,Botswana,Gaborone,-24.5075,26.0675,Additional tourist destination near Gaborone,,tourism|attraction,ar_dest_150,tourism_spot
extra_0151,Destination 151 - Windhoek,Namibia,Windhoek,-22.419,17.2346,Additional tourist destination near Windhoek,,tourism|attraction,ar_dest_151,tourism_spot
extra_0152,Destination 152 - Nairobi,Kenya,Nairobi,-1.1401000000000001,36.9739,Additional tourist destination near Nairobi,,tourism|attraction,ar_dest_152,tourism_spot
extra_0153,Destination 153 - Mombasa,Kenya,Mombasa,-3.8905,39.8212,Additional tourist destination near Mombasa,,tourism|attraction,ar_dest_153,tourism_spot
extra_0154,Destination 154 - Dar es Salaam,Tanzania,Dar es Salaam,-6.6384,39.362300000000005,Additional tourist destination near Dar es Salaam,,tourism|attraction,ar_dest_154,tourism_spot
extra_0155,Destination 155 - Arusha,Tanzania,Arusha,-3.2319,36.838,Additional tourist destination near Arusha,,tourism|attraction,ar_dest_155,tourism_spot
extra_0156,Destination 156 - Kampala,Uganda,Kampala,0.5036,32.7385,Additional tourist destination near Kampala,,tourism|attraction,ar_dest_156,tourism_spot
extra_0157,Destination 157 - Kigali,Rwanda,Kigali,-1.7871,30.2189,Additional tourist destination near Kigali,,tourism|attraction,ar_dest_157,tourism_spot
extra_0158,Destination 158 - Addis Ababa,Ethiopia,Addis Ababa,9.187999999999999,38.898,Additional tourist destination near Addis Ababa,,tourism|attraction,ar_dest_158,tourism_spot
