Column A: Chinese,Column B: English,Column C: Shona,Column D: Zulu,Column E: Ndebele,Column F: Scene (trade/travel/payment/service)
需要签证吗,Do I need a visa?,Ndichida visa here?,Ngidinga ivisa na?,Ngidinga ivisa na?,travel
我要找仓库,I need a warehouse,Ndiri kutsvaga chiteshi,Ngifuna iwarehouse,Ngifuna iwarehouse,trade
运费多少,How much is shipping?,Mari yekudzosa inenge mangani?,Ikhombi lezokuthutha ingakanani?,Ikhombi lezokuthutha ingakanani?,trade
可以拼柜吗,Can we share a container?,Tinogona kugadzira imba imwe here?,Ungawathola amakhasi athili na?,Ungawathola amakhasi athili na?,trade
我要批发,I want wholesale,Ndiri kuda kutengesa zvakawanda,Ngifuna iwholesale,Ngifuna iwholesale,trade
可以样品吗,Can I get a sample?,Ndinogona kutaura sample here?,Ngithola isampula na?,Ngithola isampula na?,trade
我要联系老板,I want to contact the boss,Ndiri kuda kubatana nemusika,Ngifuna ukuthola umboss,Ngifuna ukuthola umboss,trade
附近有银行吗,Is there a bank nearby?,Pane bhangi pedyo here?,Kune ibhanki eduze na?,Kune ibhanki eduze na?,payment
我要存款,I want to deposit money,Ndiri kuda kuisa mari,Ngifuna ukufaka imali,Ngifuna ukufaka imali,payment
我要取款,I want to withdraw money,Ndiri kuda kutora mari,Ngifuna ukuthatha imali,Ngifuna ukuthatha imali,payment
网络好吗,Is the internet good?,Internet yakachengeteka here?,I-internet ihle na?,I-internet ihle na?,service
有 Wi-Fi 吗,Do you have Wi-Fi?,Pane Wi-Fi here?,Kune i-Wi-Fi na?,Kune i-Wi-Fi na?,service
可以扫码支付吗,Can I scan to pay?,Ndinogona kuisa mari nekuchaya here?,Ngithola ukuthola i-Scan na?,Ngithola ukuthola i-Scan na?,payment
我要预定房间,I want to book a room,Ndiri kuda kubhukuza imba,Ngifuna ukubhukuda igumbi,Ngifuna ukubhukuda igumbi,travel
含早餐吗,Does it include breakfast?,Yakaisa breakfast here?,Ibreakfast ihle na?,Ibreakfast ihle na?,travel
接机服务多少钱,How much for airport pickup?,Mari yekuuzisa ndege inenge mangani?,Ikhombi lezokuthola i-ndege ingakanani?,Ikhombi lezokuthola i-ndege ingakanani?,travel
当地语言是什么,What is the local language?,Chitauro chemunhu wese chiripi?,Ulimi lwasebenza luyini?,Ulimi lwasebenza luyini?,travel
从中国到非洲海运多久,How long is sea shipping from China to Africa?,Kufamba kugovo kunotora mazuva mangani?,Ukuhambisa kulebhubha from China to Africa kunika isikhathi esingakanani?,Ukuhambisa kulebhubha from China to Africa kunika isikhathi esingakanani?,trade
可以做信用证吗,Can we use LC?,Tinogona kushandisa LC here?,Ngithola i-LC na?,Ngithola i-LC na?,trade
关税多少,How much is tax?,Muto unenge mangani?,Itax ingakanani?,Itax ingakanani?,trade
我要做外贸,I want to do cross-border trade,Ndiri kuda kugadzira kutengesa kwekunze,Ngifuna ukwenza isithembu sezakuzalwa,Ngifuna ukwenza isithembu sezakuzalwa,trade
当地有华人吗,Are there Chinese people locally?,Pane vanhu veChina here?,Kune abantu abaseChina na?,Kune abantu abaseChina na?,travel
当地市场在哪里,Where is the local market?,Musika wemunhu wese uri kupi?,Imakethe yasebenza liphi?,Imakethe yasebenza liphi?,trade
可以货到付款吗,Can I pay on delivery?,Ndinogona kubhadhara paakadzika here?,Ngithola ukukhokhela ngesikhathi sokuthola na?,Ngithola ukukhokhela ngesikhathi sokuthola na?,payment
我要查订单,I want to check my order,Ndiri kuda kuongorora order yangu,Ngifuna ukukhangela i-ordari yangi,Ngifuna ukukhangela i-ordari yangi,service
